WDCD,WDNM,LBCD,LBNM,GORCD,GORNM,CTRYCD,CTRYNM
E05000026,Abbey,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000027,Alibon,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000028,Becontree,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000029,Chadwell Heath,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000030,Eastbrook,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000031,Eastbury,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000032,Gascoigne,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000033,Goresbrook,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000034,Heath,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000035,Longbridge,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000036,Mayesbrook,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000037,Parsloes,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000038,River,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000039,Thames,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000040,Valence,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000041,Village,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000042,Whalebone,E09000002,Barking and Dagenham,E12000007,London,E92000001,England
E05000043,Brunswick Park,E09000003,Barnet,E12000007,London,E92000001,England
E05000044,Burnt Oak,E09000003,Barnet,E12000007,London,E92000001,England
E05000045,Childs Hill,E09000003,Barnet,E12000007,London,E92000001,England
E05000046,Colindale,E09000003,Barnet,E12000007,London,E92000001,England
E05000047,Coppetts,E09000003,Barnet,E12000007,London,E92000001,England
E05000048,East Barnet,E09000003,Barnet,E12000007,London,E92000001,England
E05000049,East Finchley,E09000003,Barnet,E12000007,London,E92000001,England
E05000050,Edgware,E09000003,Barnet,E12000007,London,E92000001,England
E05000051,Finchley Church End,E09000003,Barnet,E12000007,London,E92000001,England
E05000052,Garden Suburb,E09000003,Barnet,E12000007,London,E92000001,England
E05000053,Golders Green,E09000003,Barnet,E12000007,London,E92000001,England
E05000054,Hale,E09000003,Barnet,E12000007,London,E92000001,England
E05000055,Hendon,E09000003,Barnet,E12000007,London,E92000001,England
E05000056,High Barnet,E09000003,Barnet,E12000007,London,E92000001,England
E05000057,Mill Hill,E09000003,Barnet,E12000007,London,E92000001,England
E05000058,Oakleigh,E09000003,Barnet,E12000007,London,E92000001,England
E05000059,Totteridge,E09000003,Barnet,E12000007,London,E92000001,England
E05000060,Underhill,E09000003,Barnet,E12000007,London,E92000001,England
E05000061,West Finchley,E09000003,Barnet,E12000007,London,E92000001,England
E05000062,West Hendon,E09000003,Barnet,E12000007,London,E92000001,England
E05000063,Woodhouse,E09000003,Barnet,E12000007,London,E92000001,England
E05000085,Alperton,E09000005,Brent,E12000007,London,E92000001,England
E05000086,Barnhill,E09000005,Brent,E12000007,London,E92000001,England
E05000087,Brondesbury Park,E09000005,Brent,E12000007,London,E92000001,England
E05000088,Dollis Hill,E09000005,Brent,E12000007,London,E92000001,England
E05000089,Dudden Hill,E09000005,Brent,E12000007,London,E92000001,England
E05000090,Fryent,E09000005,Brent,E12000007,London,E92000001,England
E05000091,Harlesden,E09000005,Brent,E12000007,London,E92000001,England
E05000092,Kensal Green,E09000005,Brent,E12000007,London,E92000001,England
E05000093,Kenton,E09000005,Brent,E12000007,London,E92000001,England
E05000094,Kilburn,E09000005,Brent,E12000007,London,E92000001,England
E05000095,Mapesbury,E09000005,Brent,E12000007,London,E92000001,England
E05000096,Northwick Park,E09000005,Brent,E12000007,London,E92000001,England
E05000097,Preston,E09000005,Brent,E12000007,London,E92000001,England
E05000098,Queens Park,E09000005,Brent,E12000007,London,E92000001,England
E05000099,Queensbury,E09000005,Brent,E12000007,London,E92000001,England
E05000100,Stonebridge,E09000005,Brent,E12000007,London,E92000001,England
E05000101,Sudbury,E09000005,Brent,E12000007,London,E92000001,England
E05000102,Tokyngton,E09000005,Brent,E12000007,London,E92000001,England
E05000103,Welsh Harp,E09000005,Brent,E12000007,London,E92000001,England
E05000104,Wembley Central,E09000005,Brent,E12000007,London,E92000001,England
E05000105,Willesden Green,E09000005,Brent,E12000007,London,E92000001,England
