WDCD,WDNM,MDCD,MDNM,GORCD,GORNM,CTRYCD,CTRYNM
E05000650,Astley Bridge,E08000001,Bolton,E12000002,North West,E92000001,England
E05000651,Bradshaw,E08000001,Bolton,E12000002,North West,E92000001,England
E05000652,Breightmet,E08000001,Bolton,E12000002,North West,E92000001,England
E05000653,Bromley Cross,E08000001,Bolton,E12000002,North West,E92000001,England
E05000654,Crompton,E08000001,Bolton,E12000002,North West,E92000001,England
E05000655,Farnworth,E08000001,Bolton,E12000002,North West,E92000001,England
E05000656,Great Lever,E08000001,Bolton,E12000002,North West,E92000001,England
E05000657,Halliwell,E08000001,Bolton,E12000002,North West,E92000001,England
E05000658,Harper Green,E08000001,Bolton,E12000002,North West,E92000001,England
E05000659,Heaton and Lostock,E08000001,Bolton,E12000002,North West,E92000001,England
E05000660,Horwich and Blackrod,E08000001,Bolton,E12000002,North West,E92000001,England
E05000661,Horwich North East,E08000001,Bolton,E12000002,North West,E92000001,England
E05000662,Hulton,E08000001,Bolton,E12000002,North West,E92000001,England
E05000663,Kearsley,E08000001,Bolton,E12000002,North West,E92000001,England
E05000664,Little Lever and Darcy Lever,E08000001,Bolton,E12000002,North West,E92000001,England
E05000665,Rumworth,E08000001,Bolton,E12000002,North West,E92000001,England
E05000666,Smithills,E08000001,Bolton,E12000002,North West,E92000001,England
E05000667,Tonge with the Haulgh,E08000001,Bolton,E12000002,North West,E92000001,England
E05000668,Westhoughton North and Chew Moor,E08000001,Bolton,E12000002,North West,E92000001,England
E05000669,Westhoughton South,E08000001,Bolton,E12000002,North West,E92000001,England
E05000670,Besses,E08000002,Bury,E12000002,North West,E92000001,England
E05000671,Church,E08000002,Bury,E12000002,North West,E92000001,England
E05000672,East,E08000002,Bury,E12000002,North West,E92000001,England
E05000673,Elton,E08000002,Bury,E12000002,North West,E92000001,England
E05000674,Holyrood,E08000002,Bury,E12000002,North West,E92000001,England
E05000675,Moorside,E08000002,Bury,E12000002,North West,E92000001,England
E05000676,North Manor,E08000002,Bury,E12000002,North West,E92000001,England
E05000677,Pilkington Park,E08000002,Bury,E12000002,North West,E92000001,England
E05000678,Radcliffe East,E08000002,Bury,E12000002,North West,E92000001,England
E05000679,Radcliffe North,E08000002,Bury,E12000002,North West,E92000001,England
E05000680,Radcliffe West,E08000002,Bury,E12000002,North West,E92000001,England
E05000681,Ramsbottom,E08000002,Bury,E12000002,North West,E92000001,England
E05000682,Redvales,E08000002,Bury,E12000002,North West,E92000001,England
E05000683,St Mary's,E08000002,Bury,E12000002,North West,E92000001,England
E05000684,Sedgley,E08000002,Bury,E12000002,North West,E92000001,England
E05000685,Tottington,E08000002,Bury,E12000002,North West,E92000001,England
E05000686,Unsworth,E08000002,Bury,E12000002,North West,E92000001,England
E05000719,Alexandra,E08000004,Oldham,E12000002,North West,E92000001,England
E05000720,Chadderton Central,E08000004,Oldham,E12000002,North West,E92000001,England
E05000721,Chadderton North,E08000004,Oldham,E12000002,North West,E92000001,England
E05000722,Chadderton South,E08000004,Oldham,E12000002,North West,E92000001,England
E05000723,Coldhurst,E08000004,Oldham,E12000002,North West,E92000001,England
E05000724,Crompton,E08000004,Oldham,E12000002,North West,E92000001,England
E05000725,Failsworth East,E08000004,Oldham,E12000002,North West,E92000001,England
E05000726,Failsworth West,E08000004,Oldham,E12000002,North West,E92000001,England
E05000727,Hollinwood,E08000004,Oldham,E12000002,North West,E92000001,England
E05000728,Medlock Vale,E08000004,Oldham,E12000002,North West,E92000001,England
E05000729,Royton North,E08000004,Oldham,E12000002,North West,E92000001,England
E05000730,Royton South,E08000004,Oldham,E12000002,North West,E92000001,England
E05000731,Saddleworth North,E08000004,Oldham,E12000002,North West,E92000001,England
E05000732,Saddleworth South,E08000004,Oldham,E12000002,North West,E92000001,England
E05000733,Saddleworth West and Lees,E08000004,Oldham,E12000002,North West,E92000001,England
E05000734,St James',E08000004,Oldham,E12000002,North West,E92000001,England
E05000735,St Mary's,E08000004,Oldham,E12000002,North West,E92000001,England
E05000736,Shaw,E08000004,Oldham,E12000002,North West,E92000001,England
E05000737,Waterhead,E08000004,Oldham,E12000002,North West,E92000001,England
E05000738,Werneth,E08000004,Oldham,E12000002,North West,E92000001,England
E05000739,Balderstone and Kirkholt,E08000005,Rochdale,E12000002,North West,E92000001,England
E05000740,Bamford,E08000005,Rochdale,E12000002,North West,E92000001,England
E05000741,Castleton,E08000005,Rochdale,E12000002,North West,E92000001,England
E05000742,Central Rochdale,E08000005,Rochdale,E12000002,North West,E92000001,England
E05000743,East Middleton,E08000005,Rochdale,E12000002,North West,E92000001,England
E05000744,Healey,E08000005,Rochdale,E12000002,North West,E92000001,England
E05000745,Hopwood Hall,E08000005,Rochdale,E12000002,North West,E92000001,England
E05000746,Kingsway,E08000005,Rochdale,E12000002,North West,E92000001,England
E05000747,Littleborough Lakeside,E08000005,Rochdale,E12000002,North West,E92000001,England
E05000748,Milkstone and Deeplish,E08000005,Rochdale,E12000002,North West,E92000001,England
E05000749,Milnrow and Newhey,E08000005,Rochdale,E12000002,North West,E92000001,England
