GEOGCD,GEOGNM,GEOGNMW,GEOGCD_P,GEOGNM_P,GEOGNMW_P,SI_ID,SI_TITLE,OPER_DATE,ENTITYCD,YEAR
E05000780,Bramhall South and Woodford,,E05000780,Bramhall South,,6001/2014,Name Change,04/04/2014,E05,2014
E05001536,Hardwick and Salters Lane,,E05001536,Hardwick,,6009/2013,Name Change,17/02/2014,E05,2014
E05004983,Barming and Teston,,E05004983,Barming,,6006/2017,Name Change,01/01/2018,E05,2018
E05009317,Bethnal Green,,E05000573,Bethnal Green North,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009317,Bethnal Green,,E05000574,Bethnal Green South,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009317,Bethnal Green,,E05000581,Mile End and Globe Town,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009318,Blackwall & Cubitt Town,,E05000575,Blackwall and Cubitt Town,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009318,Blackwall & Cubitt Town,,E05000583,Millwall,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009319,Bow East,,E05000576,Bow East,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009320,Bow West,,E05000577,Bow West,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009321,Bromley North,,E05000578,Bromley-by-Bow,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009321,Bromley North,,E05000582,Mile End East,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009322,Bromley South,,E05000578,Bromley-by-Bow,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009323,Canary Wharf,,E05000575,Blackwall and Cubitt Town,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009323,Canary Wharf,,E05000583,Millwall,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009324,Island Gardens,,E05000575,Blackwall and Cubitt Town,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009324,Island Gardens,,E05000583,Millwall,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009325,Lansbury,,E05000575,Blackwall and Cubitt Town,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009325,Lansbury,,E05000583,Millwall,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009325,Lansbury,,E05000579,East India and Lansbury,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
E05009326,Limehouse,,E05000580,Limehouse,,1786/2013,The Tower Hamlets (Electoral Changes) Order 2013,22/05/2014,E05,2014
