,GEOGCD_P,GEOGCD,GEOGNM,GEOGNM_P,SI_ID
2,E05004983,E05004983,Barming and Teston,Barming,6006/2017
285,E05000536,E05011095,Borough & Bankside,Cathedrals,1202/2016
286,E05000535,E05011096,Camberwell Green,Camberwell Green,1202/2016
287,E05000541,E05011096,Camberwell Green,Faraday,1202/2016
288,E0500534,E05011096,Camberwell Green,Brunswick Park,1202/2016
289,E05000551,E05011097,Champion Hill,South Camberwell,1202/2016
290,E05000537,E05011098,Chaucer,Chaucer,1202/2016
291,E05000539,E05011099,Dulwich Hill,East Dulwich,1202/2016
292,E05000547,E05011099,Dulwich Hill,Peckham Rye,1202/2016
293,E05000538,E05011099,Dulwich Hill,College,1202/2016
294,E05000554,E05011100,Dulwich Village,Village,1202/2016
295,E05000551,E05011100,Dulwich Village,South Camberwell,1202/2016
296,E05000538,E05011101,Dulwich Wood,College,1202/2016
297,E05000540,E05011102,Faraday,East Walworth,1202/2016
298,E05000541,E05011102,Faraday,Faraday,1202/2016
299,E05000544,E05011102,Faraday,Newington,1202/2016
300,E05000546,E05011102,Faraday,Peckham,1202/2016
301,E05000533,E05011103,Goose Green,The Lane,1202/2016
302,E05000551,E05011103,Goose Green,South Camberwell,1202/2016
303,E05000547,E05011103,Goose Green,Peckham Rye,1202/2016
304,E05000544,E05011103,Goose Green,Village,1202/2016
305,E05000539,E05011103,Goose Green,East Dulwich,1202/2016
306,E05000537,E05011104,London Bridge & West Bermondsey,Chaucer,1202/2016
307,E05000542,E05011104,London Bridge & West Bermondsey,Grange,1202/2016
308,E05000548,E05011104,London Bridge & West Bermondsey,Riverside,1202/2016
309,E05000535,E05011105,Newington,Camberwell Green,1202/2016
310,E05000544,E05011105,Newington,Newington,1202/2016
311,E05000548,E05011106,North Bermondsey,Riverside,1202/2016
312,E05000549,E05011106,North Bermondsey,Rotherhithe,1202/2016
313,E05000541,E05011107,North Walworth,Faraday,1202/2016
314,E05000544,E05011107,North Walworth,Newington,1202/2016
315,E05000540,E05011107,North Walworth,East Walworth,1202/2016
316,E05000543,E05011108,Nunhead & Queen's Road,Livesey,1202/2016
317,E05000545,E05011108,Nunhead & Queen's Road,Nunhead,1202/2016
318,E05000553,E05011108,Nunhead & Queen's Road,The Lane,1202/2016
319,E05000540,E05011109,Old Kent Road,East Walworth,1202/2016
320,E05000550,E05011109,Old Kent Road,South Bermondsey,1202/2016
321,E05000545,E05011109,Old Kent Road,Nunhead,1202/2016
322,E05000543,E05011109,Old Kent Road,Livesey,1202/2016
323,E05000534,E05011110,Peckham,Brunswick Park,1202/2016
324,E05000546,E05011110,Peckham,Peckham,1202/2016
325,E05000545,E05011111,Peckham Rye,Nunhead,1202/2016
326,E05000547,E05011111,Peckham Rye,Peckham Rye,1202/2016
327,E05000543,E05011112,Rotherhithe,Livesey,1202/2016
328,E05000549,E05011112,Rotherhithe,Rotherhithe,1202/2016
329,E05000552,E05011112,Rotherhithe,Surrey Docks,1202/2016
330,E05000551,E05011113,Rye Lane,South Camberwell,1202/2016
331,E05000553,E05011113,Rye Lane,The Lane,1202/2016
332,E05000536,E05011114,St George's,Cathedrals,1202/2016
333,E05000534,E05011115,St Giles,Brunswick Park,1202/2016
334,E05000535,E05011115,St Giles,Camberwell Green,1202/2016
335,E05000541,E05011115,St Giles,Faraday,1202/2016
336,E05000546,E05011115,St Giles,Peckham,1202/2016
337,E05000553,E05011115,St Giles,The Lane,1202/2016
338,E05000550,E05011116,South Bermondsey,South Bermondsey,1202/2016
