wd18cd,wd18nm,lat,long
E05000026,Abbey,0.0781391326019391,51.5396936224783
E05000027,Alibon,0.148297265909217,51.5455906248629
E05000028,Becontree,0.11898366691493,51.5545350290168
E05000029,Chadwell Heath,0.140012002653072,51.5847531458228
E05000030,Eastbrook,0.173608417033405,51.5536493450092
E05000031,Eastbury,0.10571057248807,51.5358972909378
E05000032,Gascoigne,0.0833284511098637,51.5324292122732
E05000033,Goresbrook,0.135606286432184,51.5360915182492
E05000034,Heath,0.15436685512043,51.5575254069904
E05000035,Longbridge,0.0966058105797752,51.5438394460056
E05000036,Mayesbrook,0.119197720337123,51.5440409026923
E05000037,Parsloes,0.13500147356742,51.5501830752734
E05000038,River,0.153356176745723,51.5259915923829
E05000039,Thames,0.118268856975693,51.5249804303837
E05000040,Valence,0.1341851331649,51.5605738292107
E05000041,Village,0.166307497579287,51.5390499169236
E05000042,Whalebone,0.14219331495535,51.5677463740637
E05000043,Brunswick Park,-0.144854462503162,51.6285951616847
E05000044,Burnt Oak,-0.259650544168841,51.6035356341361
E05000045,Childs Hill,-0.202622923817742,51.565087236544
E05000046,Colindale,-0.245553808179621,51.5940772808151
E05000047,Coppetts,-0.151821912395974,51.6111945642877
E05000048,East Barnet,-0.161003362384187,51.6467392358016
E05000049,East Finchley,-0.168910118525382,51.5950548982931
E05000050,Edgware,-0.28171245994865,51.6263776951362
E05000051,Finchley Church End,-0.201147827923577,51.5962834130136
E05000052,Garden Suburb,-0.183280459084766,51.5809749320083
E05000053,Golders Green,-0.212679082291229,51.5748189264839
E05000054,Hale,-0.256761030079323,51.6261156809939
E05000055,Hendon,-0.224353819838492,51.5911364097945
E05000056,High Barnet,-0.212506285901011,51.6549262463611
E05000057,Mill Hill,-0.224638708060898,51.6138551033561
E05000058,Oakleigh,-0.170666124739046,51.6343198553627
E05000059,Totteridge,-0.201154550709981,51.6298677899943
E05000060,Underhill,-0.21871814115216,51.6442158830643
E05000061,West Finchley,-0.187349172825713,51.6071579689042
E05000062,West Hendon,-0.235332940353893,51.5783847717536
E05000063,Woodhouse,-0.17174641990065,51.6109245480298
E05000085,Alperton,-0.294490497557788,51.5404762599916
E05000086,Barnhill,-0.279486568668613,51.5711353036473
E05000087,Brondesbury Park,-0.21886116773557,51.5428840720065
E05000088,Dollis Hill,-0.236535003430734,51.5643449834967
E05000089,Dudden Hill,-0.241559025857012,51.5542202525433
E05000090,Fryent,-0.265088410345431,51.5820608855253
E05000091,Harlesden,-0.250708582469478,51.5409391646618
E05000092,Kensal Green,-0.236758112555396,51.5349810830181
E05000093,Kenton,-0.29989734298644,51.5813398688159
E05000094,Kilburn,-0.198641604961414,51.5368956989757
E05000095,Mapesbury,-0.218705332352211,51.5538156285278
E05000096,Northwick Park,-0.317938478714448,51.5690309555839
E05000097,Preston,-0.297062088325985,51.566156248858
E05000098,Queens Park,-0.213759706460475,51.535168575714
E05000099,Queensbury,-0.272953398826159,51.5923381153933
E05000100,Stonebridge,-0.266848346590422,51.5420072478818
E05000101,Sudbury,-0.314913654951783,51.5562093054448
E05000102,Tokyngton,-0.278437816961892,51.553745379576696
E05000103,Welsh Harp,-0.257782923275863,51.5665721503397
E05000104,Wembley Central,-0.297236132987375,51.549984557853
E05000105,Willesden Green,-0.23493519422488,51.5455249823118
E05000106,Bickley,0.0463513548263641,51.4016395734242
E05000107,Biggin Hill,0.0236962995470476,51.3163017105838
E05000108,Bromley Common and Keston,0.0408010106575037,51.3725618092872
E05000109,Bromley Town,0.0147418176794538,51.4037221511606
E05000110,Chelsfield and Pratts Bottom,0.113234235393116,51.3510365880884
E05000111,Chislehurst,0.0743165339011974,51.4130938260322
E05000112,Clock House,-0.0478097552154708,51.404965710339
E05000113,Copers Cope,-0.0193917628569282,51.411809006316
E05000114,Cray Valley East,0.13168679169636,51.391670616678
E05000115,Cray Valley West,0.102680315950748,51.4003505376418
E05000116,Crystal Palace,-0.0688078404649329,51.4169927820643
E05000117,Darwin,0.0572459714931613,51.3271513320543
E05000118,Farnborough and Crofton,0.0669582240106418,51.3653912214386
E05000119,Hayes and Coney Hall,0.0115875008089965,51.3697831898269
E05000120,Kelsey and Eden Park,-0.0297066196854363,51.393656316211
E05000121,Mottingham and Chislehurst North,0.0416165590948096,51.4323080463167
E05000122,Orpington,0.109443195361988,51.3713223618956
E05000123,Penge and Cator,-0.0482986827574985,51.4159576032604
E05000124,Petts Wood and Knoll,0.0785710621006599,51.3858975646566
E05000125,Plaistow and Sundridge,0.0233268844448201,51.4177765925788
E05000126,Shortlands,-0.00170570744267011,51.3964370138482
E05000127,West Wickham,-0.0115290314755468,51.3779277772373
E05000128,Belsize,-0.166561287125746,51.5461086360083
E05000129,Bloomsbury,-0.131410305861161,51.5219893230217
E05000130,Camden Town with Primrose Hill,-0.149081420808199,51.5403154216002
E05000131,Cantelowes,-0.133678317600706,51.5450544899207
E05000132,Fortune Green,-0.201626016508141,51.5531008567287
E05000133,Frognal and Fitzjohns,-0.183793551513746,51.5545972002624
E05000134,Gospel Oak,-0.156215919320709,51.5528916059876
E05000135,Hampstead Town,-0.174039022777725,51.5602952784186
E05000136,Haverstock,-0.153488323724604,51.5466491992138
E05000137,Highgate,-0.155173790032162,51.5645353811708
E05000138,Holborn and Covent Garden,-0.117708509796989,51.5190103404559
E05000139,Kentish Town,-0.140215768583187,51.5514861982607
E05000140,Kilburn,-0.190706343778552,51.54035039709
E05000141,King's Cross,-0.121278521988155,51.527146664794
E05000142,Regent's Park,-0.142519863786865,51.5307740145219
E05000143,St Pancras and Somers Town,-0.130269105956772,51.5353217181089
E05000144,Swiss Cottage,-0.176671156953444,51.5419992100803
E05000145,West Hampstead,-0.191646426972957,51.5485309420488
E05000170,Acton Central,-0.270705538250445,51.5149065271455
E05000171,Cleveland,-0.322690784841795,51.5236075984856
E05000172,Dormers Wells,-0.36157793483321,51.5158633561524
E05000173,Ealing Broadway,-0.309598181356609,51.5170719770112
E05000174,Ealing Common,-0.295438009586127,51.5068635237483
E05000175,East Acton,-0.260513401719527,51.5215495605334
E05000176,Elthorne,-0.333854518352732,51.5050749576929
E05000177,Greenford Broadway,-0.363277184710836,51.5323025245993
E05000178,Greenford Green,-0.34857338970305,51.5423078040489
E05000179,Hanger Hill,-0.292961748135463,51.5261790111089
E05000180,Hobbayne,-0.340735277923731,51.5193704351784
E05000181,Lady Margaret,-0.370584069658647,51.52304248
E05000182,Northfield,-0.315170656441812,51.4984417809663
E05000183,North Greenford,-0.332889149398882,51.550443983369
E05000184,Northolt Mandeville,-0.371650653901489,51.5484871946298
E05000185,Northolt West End,-0.39408837861428,51.5382798929675
E05000186,Norwood Green,-0.360891467339352,51.5021305376301
E05000187,Perivale,-0.323394173106092,51.5356434796296
E05000188,South Acton,-0.277366334618218,51.5066063209731
E05000189,Southall Broadway,-0.383400626155221,51.5092944859911
E05000190,Southall Green,-0.389927918219869,51.5000110668087
E05000191,Southfield,-0.261582138351866,51.5000337725013
E05000192,Walpole,-0.315496664045087,51.5068648803176
E05000193,Bowes,-0.109335756601315,51.611350765342
E05000194,Bush Hill Park,-0.0784056381755078,51.6352313713007
E05000195,Chase,-0.102243073053812,51.6772524585065
E05000196,Cockfosters,-0.149916441208497,51.6608787648903
E05000197,Edmonton Green,-0.0536941872214158,51.6187016051855
E05000198,Enfield Highway,-0.0300651178824983,51.6578458432206
E05000199,Enfield Lock,-0.0233800135092987,51.6730956552976
E05000200,Grange,-0.0914118398883552,51.6441910814822
E05000201,Haselbury,-0.0744371575458485,51.624079775892
E05000202,Highlands,-0.109519983707545,51.6574627187638
E05000203,Jubilee,-0.0406796607696907,51.6346317573898
E05000204,Lower Edmonton,-0.0448172187609405,51.6262063469421
E05000205,Palmers Green,-0.0994463380905082,51.6191442269384
E05000206,Ponders End,-0.033214834285771,51.6444930742735
E05000207,Southbury,-0.0609232205554773,51.6529957720664
E05000208,Southgate,-0.122984248502565,51.6362219297436
E05000209,Southgate Green,-0.126530253661114,51.6187850874306
E05000210,Town,-0.0781677106559384,51.6591159497349
E05000211,Turkey Street,-0.0456552560053293,51.6739042647412
E05000212,Upper Edmonton,-0.065423951842605,51.611147522229
E05000213,Winchmore Hill,-0.104780193063599,51.6301076382295
E05000214,Abbey Wood,0.113643333077516,51.488239572922
E05000215,Blackheath Westcombe,0.0167193202748028,51.4747061819595
E05000216,Charlton,0.0355061487834144,51.4820608089454
E05000217,Coldharbour and New Eltham,0.0596673349893107,51.4335976109272
E05000218,Eltham North,0.0611560469333507,51.4587586203094
E05000219,Eltham South,0.069010273952997,51.4467773112329
E05000220,Eltham West,0.036748749355452,51.4589432853124
E05000221,Glyndon,0.0813132586395633,51.4875241452656
E05000222,Greenwich West,-0.00811459869678656,51.4772919080025
E05000223,Kidbrooke with Hornfair,0.039203365807748,51.471053055254004
E05000224,Middle Park and Sutcliffe,0.0281479701777236,51.4515155646755
E05000225,Peninsula,0.0116581253347265,51.4915633216369
E05000226,Plumstead,0.0988188732117611,51.4836599426154
E05000227,Shooters Hill,0.075169754384648,51.4714219571567
E05000228,Thamesmead Moorings,0.101401396797755,51.5017187721393
E05000229,Woolwich Common,0.0610893311188433,51.4808786780255
E05000230,Woolwich Riverside,0.0526050673782752,51.4913440774181
E05000250,Addison,-0.219507366568933,51.5003521086169
E05000251,Askew,-0.24208455961624,51.5033989376275
E05000252,Avonmore and Brook Green,-0.213541935247911,51.4943307486984
E05000253,College Park and Old Oak,-0.237672704015509,51.5220356390551
E05000254,Fulham Broadway,-0.200041334657759,51.4831149757207
E05000255,Fulham Reach,-0.218268863016381,51.4858390126792
E05000256,Hammersmith Broadway,-0.227395451961315,51.4940144939991
E05000257,Munster,-0.211714935689872,51.4783002392126
E05000258,North End,-0.205887216515284,51.4878714545189
E05000259,Palace Riverside,-0.213067553045428,51.4725559954704
E05000260,Parsons Green and Walham,-0.194618686470582,51.4757340203763
E05000261,Ravenscourt Park,-0.24070442083476,51.4961247714684
E05000262,Sands End,-0.188942972606933,51.4709424638261
E05000263,Shepherd's Bush Green,-0.225818855990964,51.5067262225059
E05000264,Town,-0.203848077124659,51.4756138673183
E05000265,Wormholt and White City,-0.238684035457685,51.5109691688322
E05000266,Alexandra,-0.132905725144701,51.598640089226
E05000267,Bounds Green,-0.122393401017159,51.6052048050099
E05000268,Bruce Grove,-0.0758962754539966,51.5933198861406
E05000269,Crouch End,-0.129040628711234,51.5780767507816
E05000270,Fortis Green,-0.153999049219085,51.5924171271078
E05000271,Harringay,-0.103391473088341,51.5789431880152
E05000272,Highgate,-0.152593812175344,51.5767415176123
E05000273,Hornsey,-0.118781026534222,51.5865299599356
E05000274,Muswell Hill,-0.137281362263864,51.5863919692032
E05000275,Noel Park,-0.106421818329825,51.5943919624977
E05000276,Northumberland Park,-0.0597835265684529,51.604204280544
E05000277,St Ann's,-0.0902989486961009,51.5821518623546
E05000278,Seven Sisters,-0.0789231977200917,51.5776899851274
E05000279,Stroud Green,-0.1105466496826,51.575093202579
E05000280,Tottenham Green,-0.0726132637753251,51.5852311014481
E05000281,Tottenham Hale,-0.0595941634620721,51.5936630294244
E05000282,West Green,-0.0907379530984531,51.5922320586643
E05000283,White Hart Lane,-0.0845678619490769,51.6036292132886
E05000284,Woodside,-0.10447498034228,51.6023342212228
E05000285,Belmont,-0.310011390849246,51.6044559536088
E05000286,Canons,-0.30568074875179,51.6230158732072
E05000287,Edgware,-0.279589670863484,51.6031464857092
E05000288,Greenhill,-0.331988497423053,51.5821135550223
E05000289,Harrow on the Hill,-0.33989395749419,51.5682968054083
E05000290,Harrow Weald,-0.346936707622838,51.614439554007
E05000291,Hatch End,-0.371330051434436,51.6101351560353
E05000292,Headstone North,-0.364054628409655,51.5943104051266
E05000293,Headstone South,-0.351082808895342,51.5867685324978
E05000294,Kenton East,-0.295095422340783,51.590399250831
E05000295,Kenton West,-0.31611589951318,51.5907544974308
E05000296,Marlborough,-0.334369097953859,51.5928596876025
E05000297,Pinner,-0.389418113785385,51.6031537035175
E05000298,Pinner South,-0.385125615373784,51.5858018026584
E05000299,Queensbury,-0.296339922360508,51.5982216062094
E05000300,Rayners Lane,-0.375821007678168,51.5738114582978
E05000301,Roxbourne,-0.367706134069783,51.5660915007638
E05000302,Roxeth,-0.364463472338289,51.5596261188691
E05000303,Stanmore Park,-0.324775598225237,51.6181374616888
E05000304,Wealdstone,-0.337085794148521,51.5998354397518
E05000305,West Harrow,-0.357300000997668,51.5777877456694
E05000306,Brooklands,0.165130979100819,51.5728865172678
E05000307,Cranham,0.264653281072404,51.5698746751751
E05000308,Elm Park,0.197136985731322,51.5420872716077
E05000309,Emerson Park,0.231794666556591,51.5751111451262
