City Mayoral 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GENERAL,,,,,,,REJECTED BALLOT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,ADDITIONAL,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,A. Issue of postal ballot papers,,,,,B (1). Receipt of and replacement postal ballot papers,,,,,,,,,B (2). Receipt of postal ballot papers – Personal Identifiers,,,C. Count of postal ballot papers,,Proxies and waivers,,,PV rejection,,,,,,,,Misc.,,,Registrations,,,,,,,
Local Authority,Electorate ,Total valid votes cast,Valid votes turnout (%),Total ballots at the count,Ballot box turnout (incl. votes rejected at count) (%),Total number of ballots returned by close of poll,Total vote turnout (incl. postal votes rejected and votes  rejected at count) (%),No official mark,Voting for more candidates,Writing or mark by which the voter could be identified,Unmarked,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned as undelivered (up to 25th after date of Poll,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',Number of electors who appointed a proxy to vote on their behalf,Emergency proxies issued,How many waivers were granted for this election?,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both),Ballot paper not returned,Postal voting statement unreturned,What was the total number of polling stations used?,No. of covering envelopes returned on polling day before 10pm,No. of covering envelopes returned on the day AFTER polling day before 10pm,Total number of new electors added 01/12/16 - 04/04/17,Total number of new electors added to the register via the second and final notices of alteration (26.04.17).,No. of applications to register after registration deadline,Total No. of applications between 22/11/16 - 24/03/17,Total No. of DUPLICATE applications between 22/11/15 - 24/03/17,Total No. of applications between 25/03/17 - 13/04/17,Total No. of DUPLICATE applications between 25/03/17 - 13/04/17,No. of people who tried to vote on polling day - not registered
North Tyneside,154506,52604,34.0%,52921,34.3%,"53,429",34.6%,,215,9,93,,317,"38,069",12,0,"38,081",242,"26,359",62,2,10,13,0,102,"11,533","38,081","26,359",283,170,"25,851",472,92,1,26,5,2,238,15,112,43,12,45,114,2360,45,2706,1179,2519,4207,470,1551,279,
Doncaster,"221,789",64080,28.9%,65104,29.4%,"66,809",30.1%,,519,15,490,,1024,"59,932",88,0,"60,016",15,"37,270",155,19,70,0,1,312,"22,090","60,016","36,180",292,323,"35,565",10,147,21,164,88,31,173,53,143,127,0,0,173,3715,48,3142,1576,3069,4725,1114,1868,458,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
