Combined Authority Mayoral 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GENERAL,,,,,,,,,REJECTED BALLOT PAPERS,,,,,REJECTED BALLOT PAPERS,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,ADDITIONAL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Second Count,,First Count,,,,,Second Count,,,,,A. Issue of postal ballot papers,,,,,B (1). Receipt of and replacement postal ballot papers,,,,,,,,,B (2). Receipt of postal ballot papers – Personal Identifiers,,,C. Count of postal ballot papers,,Proxies and waivers,,,PV rejection,,,,,,,,Misc.,,,Registrations,,,,,,,,,,
Combined Authority,Electorate ,Total valid votes cast,Valid votes turnout (%),Total ballots at the count,Ballot box turnout (incl. votes rejected at count) (%),Total number of ballots returned by close of poll,Total vote turnout (incl. postal votes rejected and votes  rejected at count) (%),Total number of first preference votes cast  for eliminated candidates,Total valid second preference votes cast for remaining candidates,No official mark,Voting for more than one candidate,Writing or mark by which the voter could be identified,Unmarked or uncertainty as to the first preference vote,Total number of ballot papers rejected at the count ,No official mark,Voting for more than one candidate,Writing or mark by which the voter could be identified,Unmarked or uncertainty as to the second preference vote,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned as undelivered (up to 25th after date of Poll,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',Number of electors who appointed a proxy to vote on their behalf,Emergency proxies issued,How many waivers were granted for this election?,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both),Ballot paper not returned,Postal voting statement unreturned,What was the total number of polling stations used?,No. of covering envelopes returned on polling day before 10pm,No. of covering envelopes returned on the day AFTER polling day before 10pm,Total number of new electors added 01/12/16 - 04/04/17,Total number of new electors added to the register via the second and final notices of alteration (26.04.17).,No. of applications to register after registration deadline,Total No. of applications between 22/11/16 - 24/03/17,Total No. of DUPLICATE applications between 22/11/15 - 24/03/17,Total No. of applications between 25/03/17 - 13/04/17,Total No. of DUPLICATE applications between 25/03/17 - 13/04/17,No. of people who tried to vote on polling day - not registered,,,
Cambridgeshire and Peterborough,"608,808","200,378",32.9%,"204,302",33.6%,"205,340",33.7%,"77,288","32,941",0,"1,145",41,"2,738","3,924",0,16,"7,384","7,403","7,419","71,043",88,1,"71,132",93,"44,824",710,8,55,5,0,371,"25,141","71,132","44,824",314,640,"43,377","1,038",744,15,435,77,86,146,363,323,70,368,109,506,"11,676",257,"13,286","6,769","14,075","17,844","4,125","8,863","1,932",18,,,
Greater Manchester,"1,982,343","566,735",28.6%,"573,543",28.9%,"581,162",29.3%,-,-,16,"4,735",114,"1,943","6,808",,,,,,"344,113",474,500,"345,065",154,"202,161","1,831",115,259,0,3,687,"140,343","303,815","190,028","1,666","5,625","195,539","7,619","1,374",61,"2,210",675,268,737,"2,102","2,527",655,374,329,"1,302","45,515",469,"49,557","17,973","31,824","73,093","19,499","19,908","5,343",148,,,
Liverpool City,"1,116,495","288,660",25.9%,"291,449",26.1%,"293,473",26.3%,-,-,5,"1,871",36,877,"2,789",,,,,,"175,297",193,0,"175,490",390,"101,423","1,138",16,142,5,0,432,"68,692","171,848","101,817",786,"1,372","99,731","2,024",566,40,826,366,137,283,433,718,215,168,387,657,"10,596",194,"19,080","10,695","24,116","29,346","7,500","13,799","3,527",114,,,
Tees Valley,"486,936","102,100",21.0%,"103,767",21.3%,"104,882",21.5%,"22,025","14,903",0,909,12,746,"1,667",0,6,1,"2,935","2,942","89,672",115,17,"89,804",65,"49,716",364,17,44,17,0,86,"39,544","89,788","49,694",303,759,"48,573","1,115",363,4,460,65,33,244,202,273,171,13,107,358,"2,216",284,"14,977","3,397","7,074","22,611","5,348","4,388","1,176",48,,,
West Midlands,"1,961,153","515,924",26.3%,"523,201",26.7%,"526,671",26.9%,"89,385","22,348",4,"4,389",36,"2,839","7,268",0,15,3,"7,497","7,515","225,348",256,148,"225,691",94,"141,504","19,028",35,189,0,0,875,"80,169","241,800","128,582",888,"2,062","137,688","3,470","1,164",45,"1,655",211,208,448,690,922,338,290,356,"1,299","22,340","1,581","58,206","15,982","27,064","71,760","15,965","18,138","5,311",17,,,
West of England,"671,280","196,953",29.3%,"199,519",29.7%,"201,329",30.0%,"99,530","38,800",0,"1,347",18,"1,207","2,572",0,,,"5,437","5,437","112,494",148,0,"112,642",58,"61,079",715,20,96,0,1,428,"50,176","112,550","61,422",326,698,"59,546","1,810",782,14,421,102,67,158,345,272,77,279,284,489,"5,797",265,"22,511","7,764","21,332","26,031","8,022","7,064","2,014",2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"6,827,015","1,870,750",27.4%,"1,895,781",27.8%,"1,912,857",28.0%,"288,228","108,992",25,"14,396",257,"10,350","25,028",0,37,"7,388","23,272","23,313","1,017,967","1,274",666,"1,019,824",854,"600,707","23,786",211,785,27,4,"2,879","404,065","990,933","576,367","4,283","11,156","584,454","17,076","4,993",179,"6,007","1,496",799,"2,016","4,135","5,035","1,526","1,492","1,572","4,611","98,140","3,050","177,617","62,580","125,485","240,685","60,459","72,160","19,303",347,,,
