England - Local elections 2017 - Counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GENERAL,,,,,,,,REJECTED BALLOT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,ADDITIONAL DATA,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,A. Issue of postal ballot papers,,,,,B (1). Receipt of and replacement postal ballot papers,,,,,,,,,B (2). Receipt of postal ballot papers – Personal Identifiers,,,C. Count of postal ballot papers,,Proxies and waivers,,,PV rejection,,,,,,,,Misc.,,,Registrations,,,,,,,
County Council,Electorate ,Electorate minus uncontested divisions,Valid votes cast,Valid votes turnout (%),Ballots at the count,Ballot box turnout (incl. votes rejected at count) (%),Ballots returned by close of poll,Total vote turnout (incl. postal votes rejected and votes  rejected at count) (%),No official mark,Voting for more candidates,Writing or mark by which the voter could be identified,Unmarked,Rejected in part,Total number of ballot papers rejected at the count ,Postal ballot papers issued,"Ballot papers issued under regulations 77, 78 & 78A",Ballot papers cancelled under 86A,Postal ballot papers issued A1 to A3,Ballot papers cancelled under Para 78A,Covering envelopes received by RO before the close of poll ,Covering envelopes received after close of poll,Postal ballot s returned spoilt for cancellation in time for re-issue,Postal ballots lost or not received in time for a re-issue,Ballot papers cancelled and retrieved in time for re-issue,Ballot papers returned as spoilt too late for re-issue,Covering envelopes returned as undelivered (up to 25th after date of Poll,Covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Covering envelopes set aside for verification,Postal voting statements rejected following verification -not completed,Postal voting statements rejected following verification -personal identifier match,Postal votes included in the count,TOTAL marked 'REJECTED',Electors who appointed a proxy to vote on their behalf,Emergency proxies issued,Waivers granted for this election,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both),Ballot paper not returned,Postal voting statement unreturned,Number of polling stations used,Covering envelopes returned on polling day before 10pm,Covering envelopes returned on the day AFTER polling day before 10pm,Number of new electors added 01/12/16 - 04/04/17,Number of new electors added via the second and final notices of alteration,Applications to register after registration deadline,Applications  22/11/16 - 24/03/17,DUPLICATE applications  22/11/15 - 24/03/17,Applications  25/03/17 - 13/04/17,DUPLICATE applications  25/03/17 - 13/04/17,People who tried to vote on polling day - not registered
Buckinghamshire,"391,285","391,285","135,728",34.7%,"136,032",34.8%,"136,922",35.0%,5,100,4,195,0,304,"59,102",287,0,"59,383",100,"40,377",270,4,43,135,0,221,"18,352","59,383","40,377",347,619,"39,301","1,048",502,28,346,35,69,95,345,160,118,383,126,347,"2,556",67,"10,693","5,231","7,186","13,689","3,977","5,076","1,529",111
Cambridgeshire,"474,472","474,472","170,819",36.0%,"171,697",36.2%,"173,020",36.5%,6,225,1,646,0,878,"63,984",82,0,"64,066",96,"43,119",449,12,59,0,0,292,"20,117","63,850","31,750",212,424,"41,782",577,547,12,249,47,25,102,123,156,35,368,109,299,"10,865",113,"10,858","4,350","11,418","13,979","3,182","5,776","1,195",16
Cumbria,"380,795","380,795","141,500",37.2%,"141,818",37.2%,"142,652",37.5%,4,108,11,195,0,318,"68,590",87,0,"68,674",75,"47,518",480,14,44,0,0,313,"20,532","68,901","47,498",316,575,"46,684",813,417,7,265,80,34,111,232,209,104,39,100,555,"7,438",228,"8,200","3,534","5,050","9,824","1,188","4,122",591,39
Derbyshire,"602,986","602,986","212,493",35.2%,"212,902",35.3%,"206,846",34.3%,0,98,13,295,3,409,"103,473",107,27,"103,607",244,"72,578",866,16,49,17,0,386,"29,668","103,580","72,462",324,726,"70,849","1,273",599,3,508,112,78,137,293,327,112,151,142,612,"13,424",174,"12,970","5,879","8,488","19,018","6,125","6,642","1,402",59
Devon,"606,567","606,567","228,895",37.7%,"229,595",37.9%,"231,343",38.1%,0,163,10,327,0,500,"90,738",272,0,"90,993",236,"64,430",630,34,58,66,0,365,"25,394","89,209","64,319",282,808,"63,129","1,561",873,43,510,26,51,83,387,341,86,54,276,694,"5,415",419,"16,116","8,721","14,163","24,114","5,697","9,319","1,695",82
Dorset,"330,023","330,023","124,332",37.7%,"125,327",38.0%,"125,746",38.1%,12,52,5,220,6,295,"49,086",53,18,"49,150",122,"35,311",229,13,30,22,0,115,"12,682","48,402","35,828",195,375,"34,626",640,534,10,576,38,27,45,173,172,69,66,10,338,"1,114",45,"8,634","3,312","5,762","16,537","2,835","4,448",848,120
East Sussex,"404,010","404,010","152,427",37.7%,"152,770",37.8%,"153,428",38.0%,0,74,5,261,3,343,"69,907",74,1,"69,982",752,"47,809",868,11,57,1,0,186,"21,050","69,982","47,992",286,490,"47,121",779,"1,084",59,548,131,27,127,134,328,37,393,111,306,"19,222",448,"10,153","3,609","6,612","16,169","4,954","6,823","1,326",89
Essex,"1,092,736","1,092,736","339,593",31.1%,"340,224",31.1%,"343,197",31.4%,17,170,11,424,9,631,"146,394",633,56,"147,072",166,"99,009","1,387",45,506,1,0,587,"45,168","146,680","102,430",542,"1,175","97,088","1,460",865,26,821,59,49,277,525,541,88,121,413,823,"23,401",640,"25,773","9,014","17,777","41,206","10,347","11,085","2,564",9
Gloucestershire,"477,537","477,537","176,857",37.0%,"177,211",37.1%,"180,295",37.8%,2,105,19,228,0,354,"83,708",177,0,"83,885",171,"57,892",573,16,85,6,1,342,"25,104","84,019","57,746",117,883,"55,969","1,967",531,9,646,47,65,9,381,428,69,264,729,466,"4,985",402,"13,256","3,960","9,132","22,703","4,749","4,821","1,040",15
Hampshire,"1,019,361","1,019,361","366,959",36.0%,"367,640",36.1%,"369,623",36.3%,4,150,4,520,3,681,"162,709",574,12,"163,291",497,"115,504",956,32,129,4,0,458,"64,565","179,401","113,217",693,"1,273","113,117","1,355","1,205",53,"1,357",75,258,199,504,608,217,85,227,785,"17,884",224,"27,817","9,014","18,270","41,014","11,106","10,025","2,898",41
Hertfordshire,"854,543","854,543","290,328",34.0%,"290,977",34.1%,"293,251",34.3%,30,192,10,400,17,649,"149,839",347,9,"148,659","1,997","100,642","1,861",155,199,53,12,417,"46,879","148,219","100,655",814,"1,331","98,197","2,171",708,18,652,146,46,382,656,452,92,216,199,504,"6,382",806,"20,043","8,535","14,583","28,689","4,773","9,008","1,494",35
Kent,"1,102,058","1,102,058","347,299",31.5%,"354,916",32.2%,"357,883",32.5%,5,186,7,416,3,617,"173,099",363,117,"173,579",140,"115,250","2,714",38,115,77,0,666,"56,016","174,865","104,280",705,"1,599","112,144","2,531","1,098",23,886,208,51,474,722,790,173,444,236,813,"24,407","1,546","32,660","11,122","20,858","51,849","11,312","13,634","3,060",37
Lancashire,"891,517","891,517","319,138",35.8%,"319,997",35.9%,"322,995",36.2%,13,207,18,621,0,859,"170,930",329,14,"171,268",405,"119,500","1,037",36,130,0,0,357,"50,188","171,256","119,500",903,950,"116,502","1,952","1,767",81,848,341,107,142,289,480,163,83,718,794,"22,039",145,"22,731","10,108","16,151","31,094","5,784","13,021","2,294",20
Leicestershire,"518,415","518,415","169,244",32.6%,"169,633",32.7%,"170,588",32.9%,3,108,3,275,0,389,"76,997",126,5,"77,125",212,"51,419",667,15,64,4,0,233,"24,790","77,167","50,351",280,666,"50,356",773,534,4,581,66,45,89,236,203,86,74,95,406,"2,106",490,"13,999","3,759","9,323","29,968","5,013","4,962","1,367",28
Lincolnshire,"552,713","552,713","177,123",32.0%,"177,661",32.1%,"178,884",32.4%,7,128,19,354,0,538,"83,607",235,0,"83,840",235,"56,130",535,17,83,78,3,327,"26,821","84,023","57,197",163,608,"54,907",899,659,3,489,53,55,56,209,251,98,69,225,572,"1,577",39,"11,729","4,047","7,925","17,965","4,584","5,078","1,266",18
Norfolk,"675,780","675,780","233,456",34.5%,"234,085",34.6%,"235,403",34.8%,8,135,7,479,0,629,"110,194",116,0,"110,308",512,"75,546",898,30,83,28,1,346,"36,289","104,323","75,546",569,841,"74,228","1,343",701,6,"1,059",175,51,302,247,449,85,140,60,644,"14,750",606,"15,761","3,466","8,121","15,301","5,058","4,746","1,393",47
North Yorkshire,"459,158","446,292","157,284",35.2%,"157,721",35.3%,"158,413",35.5%,10,94,8,325,0,437,"78,760",98,0,"78,842",204,"54,815",376,27,44,0,0,290,"22,905","78,457","51,632",443,570,"53,518","1,148",627,9,408,107,114,198,209,256,119,63,101,590,"11,897",121,"10,522","4,058","9,066","15,115","3,160","4,408",949,37
Northamptonshire,"533,247","533,247","177,867",33.4%,"178,268",33.4%,"175,689",32.9%,0,81,1,277,42,401,"103,407",136,0,"103,541",449,"68,707",853,33,75,5,0,272,"34,053","102,757","72,869",494,"1,206","67,018","1,516",428,6,596,121,327,281,375,376,156,100,41,497,"27,247",365,"17,217","4,495","8,167","22,624","6,762","5,132","1,484",94
Nottinghamshire,"608,105","608,105","223,408",36.7%,"223,951",36.8%,"225,838",37.1%,16,105,4,418,0,543,"114,621",139,0,"114,760",217,"81,554","1,068",14,116,0,0,280,"31,849","114,881","81,564",194,917,"79,667","1,692",694,11,594,99,90,69,350,405,100,311,372,590,"13,817",347,"14,819","6,038","8,947","15,967","7,078","7,507","1,513",54
