England - Local elections 2017 - Districts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GENERAL,,,,,,,,REJECTED BALLOT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,ADDITIONAL DATA,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A. Issue of postal ballot papers,,,,,B (1). Receipt of and replacement postal ballot papers,,,,,,,,,B (2). Receipt of postal ballot papers – Personal Identifiers,,,C. Count of postal ballot papers,,Proxies and waivers,,,PV rejection,,,,,,,,Misc.,,,Registrations,,,,,,,
County,District,Electorate ,Electorate minus uncontested divisions,Total valid votes cast,Valid votes turnout (%),Total ballots at the count,Ballot box turnout (incl. votes rejected at count) (%),Total number of ballots returned by close of poll,Total vote turnout (incl. postal votes rejected and votes  rejected at count) (%),No official mark,Voting for more candidates,Writing or mark by which the voter could be identified,Unmarked,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned as undelivered (up to 25th after date of Poll,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',1) Number of electors who appointed a proxy to vote on their behalf,2) Emergency proxies issued,3) How many waivers were granted for this election?,4.a) PV statement rejected (No signature),4.b) PV statement rejected (No DoB),4.c) PV statement rejected (Both),4.d) PV statement rejected (Mismatched signature),4.e) PV statement rejected (Mismatched DoB),4.f) PV statement rejected (Mismatched both),4.g) Ballot paper not returned,4.h) Postal voting statement unreturned,5) What was the total number of polling stations used?,6) No. of covering envelopes returned on polling day before 10pm,7) No. of covering envelopes returned on the day AFTER polling day before 10pm,8) Total number of new electors added 01/12/16 - 04/04/17,9) Total number of new electors added to the register via the second and final notices of alteration (26.04.17).,10) No. of applications to register after registration deadline,11) Total No. of applications between 22/11/16 - 24/03/17,12) Total No. of DUPLICATE applications between 22/11/15 - 24/03/17,13) Total No. of applications between 25/03/17 - 13/04/17,14) Total No. of DUPLICATE applications between 25/03/17 - 13/04/17,15) No. of people who tried to vote on polling day - not registered
Buckinghamshire,Aylesbury Vale,"138,785","138,785",48287,34.8%,"48,368",34.9%,"48,586",35.0%,5,26,2,48,0,81,"20,760",33,0,"20,793",7,"14,146",71,0,26,0,0,112,"6,438","20,793","14,146",53,103,"13,928",218,145,4,61,12,13,38,29,29,49,30,34,158,1200,40,3805,1316,2798,6200,1479,1602,355,14
Buckinghamshire,Chiltern,"71,386","71,386",27747,38.9%,"27,813",39.0%,"27,781",38.9%,0,16,0,50,0,66,"10,391",9,0,"10,400",51,"7,052",57,0,9,9,0,40,"3,246","10,400","7,052",49,77,"6,898",126,113,4,112,4,24,22,30,38,9,34,30,56,588,1,2424,1078,915,2309,865,653,329,43
Buckinghamshire,South Buckinghamshire,"53,194","53,194",15699,29.5%,"15,727",29.6%,"15,890",29.9%,0,9,0,19,0,28,"8,906",6,0,"8,912",42,"5,735",81,1,5,6,0,17,"3,067","8,912","5,735",49,91,"5,572",163,38,0,115,9,20,20,37,35,19,30,36,35,343,1,1634,641,552,1545,707,427,237,54
Buckinghamshire,Wycombe,"127,920","127,920",43995,34.4%,"44,124",34.5%,"44,665",34.9%,0,49,2,78,0,129,"19,045",239,0,"19,278",0,"13,444",61,3,3,120,0,52,"5,601","19,278","13,444",196,348,"12,903",541,206,20,58,10,12,15,249,58,41,289,26,98,425,25,2830,2196,2921,3635,926,2394,608,
Cambridgeshire,Cambridge,"87,020","87,020",36535,42.0%,"36,687",42.2%,"36,848",42.3%,0,39,1,112,0,152,"12,237",17,0,"12,254",13,"8,575",97,3,14,0,0,135,"3,430","12,254","8,575",107,54,"8,414",161,174,3,30,28,14,64,13,32,8,3,13,49,8696,15,3830,1377,4479,2952,160,1744,75,5
Cambridgeshire,East Cambridgeshire,"64,620","64,620",21788,33.7%,"21,942",34.0%,"22,149",34.3%,0,27,0,127,0,154,"6,612",6,0,"6,618",54,"4,567",36,6,0,0,0,26,"1,983","6,618","4,567",36,53,"4,360",158,83,3,93,5,6,3,27,22,4,112,20,69,372,36,568,387,1014,1044,174,535,131,4
Cambridgeshire,Fenland,"75,797","75,797",20325,26.8%,"20,417",26.9%,"20,549",27.1%,0,34,0,58,0,92,"11,772",5,0,"11,777",18,"7,665",87,0,5,0,0,22,"3,980","11,777","7,665",58,81,"7,533",132,123,0,51,13,5,33,24,48,9,242,3,57,442,15,1276,459,686,1173,121,459,62,2
Cambridgeshire,Huntingdonshire,"130,394","130,394",42829,32.8%,"43,073",33.0%,"43,405",33.3%,6,58,0,180,0,244,"17,591",25,0,"17,616",3,"11,369",134,0,22,0,0,47,"6,044","17,616",0,8,113,"11,023",0,2,0,1,0,0,0,2,2,0,0,0,3,17,5,2919,1135,2482,4819,1522,1799,545,
