England - Local elections 2017 - Unitary and Metropolitan authorities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GENERAL,,,,,,,,REJECTED BALLOT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,ADDITIONAL DATA,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,A. Issue of postal ballot papers,,,,,B (1). Receipt of and replacement postal ballot papers,,,,,,,,,B (2). Receipt of postal ballot papers – Personal Identifiers,,,C. Count of postal ballot papers,,Proxies and waivers,,,PV rejection,,,,,,,,Misc.,,,Registrations,,,,,,,,
Local authority,Electorate ,Electorates minus uncontested wards,Total valid votes cast,Valid votes turnout (%),Total ballots at the count,Ballot box turnout (incl. votes rejected at count) (%),Total number of ballots returned by close of poll,Total vote turnout (incl. postal votes rejected and votes  rejected at count) (%),No official mark,Voting for more candidates,Writing or mark by which the voter could be identified,Unmarked,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned as undelivered (up to 25th after date of Poll,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',Number of electors who appointed a proxy to vote on their behalf,Emergency proxies issued,How many waivers were granted for this election?,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both),Ballot paper not returned,Postal voting statement unreturned,What was the total number of polling stations used?,No. of covering envelopes returned on polling day before 10pm,No. of covering envelopes returned on the day AFTER polling day before 10pm,Total number of new electors added 01/12/16 - 04/04/17,Total number of new electors added to the register via the second and final notices of alteration (26.04.17).,No. of applications to register after registration deadline,Total No. of applications between 22/11/16 - 24/03/17,Total No. of DUPLICATE applications between 22/11/15 - 24/03/17,Total No. of applications between 25/03/17 - 13/04/17,Total No. of DUPLICATE applications between 25/03/17 - 13/04/17,No. of people who tried to vote on polling day - not registered,
Cornwall,"415,163","415,163","164,914",39.7%,"165,820",39.9%,"166,372",40.1%,52,245,15,504,0,816,"73,395",65,0,"73,429",1,"50,676",252,9,43,6,3,290,"22,243","73,520","50,671",334,205,"50,124",545,578,18,629,111,76,55,5,143,32,136,82,454,2663,143,18658,3525,8475,27037,2196,4269,579,30,
Durham,"386,705","386,705","120,376",31.1%,"120,861",31.3%,"121,775",31.5%,9,206,5,262,3,485,"80,048",80,"3,016","83,144","1,235","53,425",587,48,24,0,0,335,"25,709","80,128","53,425",550,353,"52,511",939,278,7,387,119,95,336,22,183,148,0,0,445,,,5682,2644,7381,10166,2418,3330,988,,
Isle of Wight,"109,066","109,066","42,044",38.5%,"42,241",38.7%,"42,419",38.9%,0,70,8,119,0,197,"17,247",12,0,"17,260",7,"11,981",92,0,5,0,0,124,"5,047","17,260","11,984",12,167,"11,803",179,133,3,168,8,4,0,82,67,18,0,207,71,756,35,2458,892,1866,3718,703,1073,234,12,
Northumberland,"240,702","240,702","97,590",40.5%,"97,944",40.7%,"99,355",41.3%,0,89,13,244,8,354,"54,789",113,0,"54,902",63,"40,533",207,28,18,481,0,86,"13,539","54,892","40,448",400,407,"39,122","1,111",365,0,346,108,62,232,166,195,63,225,60,228,3133,,10880,1687,3498,14276,1153,2185,369,,
Shropshire,"236,680","233,255","84,430",36.2%,"84,869",36.4%,"85,243",36.5%,2,66,24,347,0,439,"34,109",34,0,"34,455",126,"23,812",369,7,20,3,0,87,"10,164","34,437","23,812",124,250,"23,438",374,246,3,297,28,11,51,38,193,23,3,3,270,2005,61,13545,4563,4078,13909,3147,2324,677,23,
Wiltshire,"365,741","361,591","142,549",39.4%,"143,174",39.6%,"144,276",39.9%,4,130,4,481,6,625,"64,559",140,0,"64,699",54,"43,852",394,41,45,0,0,411,"19,956","64,699","42,643",0,789,"42,750",0,574,23,515,0,0,0,227,399,163,318,44,419,2764,394,10465,3909,8246,16535,4297,4179,765,2,
Doncaster,"221,789","221,789","64,803",29.2%,"65,095",29.4%,"66,800",30.1%,0,42,3,247,0,292,"59,932",88,0,"60,016",15,"37,270",155,19,70,0,1,312,"22,090","60,016","36,180",292,323,"35,565",10,147,21,164,88,31,173,53,143,127,0,0,173,3715,48,3142,1576,3069,4725,1114,1868,458,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
